gene	cluster_name	orthologous_to
Cowc_CAOG_07174	OG0:NA	NA
Fspp_ffun1_m4_29136_m1	OG0:NA	NA
Fspp_ffun1_m4_1651_m1	OG0:NA	NA
Adig_XP_015769133.1	OG0:NA	NA
Gfas_gfas1.m1.19094.m1	OG0:NA	NA
Spis_XP_022791124_1	OG0:NA	NA
Gasp_gasp1.m3.12145.m1	OG0:NA	NA
Spis_XP_022791127_1	OG0:NA	NA
Gasp_gasp1.m3.15100.m1	OG0:NA	NA
Gasp_gasp1.m3.12148.m1	OG0:NA	NA
Hhon_g08089_t1	OG0:NA	NA
Smed_dd_Smed_v6_1864_0	OG0:NA	NA
Sros_PTSG_03707	OG0:NA	NA
Sros_PTSG_00681	OG0:NA	NA
Pbac_sb2668191	OG0:NA	NA
Sros_PTSG_04825	OG0:NA	NA
Tadh_P60298	OG0:NA	NA
Mlei_ML3055_g29_t1	OG0:NA	NA
Nvec_v1g86952	OG1:NA	NA
Gfas_gfas1.m1.19096.m1	OG1:NA	NA
Spis_XP_022791128_1	OG1:NA	NA
Fspp_ffun1_m4_29137_m1	OG1:NA	NA
Fspp_ffun1_m4_1650_m1	OG1:NA	NA
Fspp_ffun1_m4_1649_m1	OG1:NA	NA
Adig_XP_015777100.1	OG1:NA	NA
Spis_XP_022791098_1	OG1:NA	NA
Gfas_gfas1.m1.300.m1	OG1:NA	NA
Gasp_gasp1.m3.8586.m1	OG1:NA	NA
Adig_XP_015769153.1	OG1:NA	NA
Fspp_ffun1_m4_1644_m1	OG1:NA	NA
Gasp_gasp1.m3.12142.m1	OG1:NA	NA
Gasp_gasp1.m3.12147.m1	OG1:NA	NA
Gasp_gasp1.m3.12143.m1	OG1:NA	NA
Gasp_gasp1.m3.12144.m1	OG1:NA	NA
Gfas_gfas1.m1.306.m1	OG1:NA	NA
Fspp_ffun1_m4_1643_m1	OG1:NA	NA
Gfas_gfas1.m1.19095.m1	OG1:NA	NA
Fspp_ffun1_m4_1653_m1	OG1:NA	NA
Gasp_gasp1.m3.12146.m1	OG1:NA	NA
Adig_XP_015769134.1	OG1:NA	NA
Fspp_ffun1_m4_1642_m1	OG1:NA	NA
Adig_XP_015769152.1	OG1:NA	NA
Spis_XP_022791102_1	OG1:NA	NA
Gfas_gfas1.m1.301.m1	OG1:NA	NA
Gasp_gasp1.m3.15101.m1	OG1:NA	NA
Spis_XP_022791093_1	OG1:NA	NA
Spis_XP_022794205_1	OG1:NA	NA
Nvec_v1g18367	OG1:NA	NA
Morvir_scaffold205.g15.t1	OG2:NA	NA
Nvec_v1g118896	OG2:NA	NA
Adig_XP_015773566.1	OG2:NA	NA
Smed_dd_Smed_v6_10446_0	OG2:NA	NA
Fspp_ffun1_m4_16723_m1	OG2:NA	NA
Tadh_P52591	OG2:NA	NA
Hhon_g05306_t1	OG2:NA	NA
