gene	cluster_name	orthologous_to
Emue_0007g634a	OG0:NA	NA
Gefoke_MALSP_02491.mRNA.1	OG0:NA	NA
Maljak_MALJA_23287.mRNA.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B/KDM7A/PHF2/PHF8
Phoaus_g6500.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Auraur_scaffold584.g6.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Hduj_OQV23936.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Amac_KNE62073	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Drer_ENSDARP00000152899.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2B
Drer_ENSDARP00000007140.7	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHF8
Notgen_g22494.t1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Mcir_OAD01724	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Drer_ENSDARP00000045941.6	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	PHF2
Drer_ENSDARP00000093306.3	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2B
Skow_XP_006819064.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Klenit_GAQ85343.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
Ramvar_GAU93306.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Diprot_Gene.21815	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Helrob_HelroP84338	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Cmer_CMB046CT	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	NA
Apla_XP_022081439.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Spur_XP_030856400.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Emul_CDI97327.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM7A/PHF2/PHF8
Apla_XP_022085617.1	OG1:KDM2A/KDM2B/KDM7A/PHF2/PHF8	KDM2A/KDM2B
